date,team.top,team.bottom,inning,top_bottom,batter_number,before_score.top,before_score.bottom,after_score.top,after_score.bottom,point,before_out,before_1b,before_2b,before_3b,after_out,after_1b,after_2b,after_3b,batter.id,batter.handed,batter.name,pitcher.id,pitcher.handed,pitcher.name,direction,result
2023-04-06,巨人,DeNA,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,900397,右,長野 久義,1700058,左,東 克樹,二,ゴロ
2023-04-06,巨人,DeNA,1,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1600059,左,吉川 尚輝,1700058,左,東 克樹,遊,飛
2023-04-06,巨人,DeNA,1,1,3,0,0,0,0,0,2,0,0,0,3,0,0,0,800043,左,丸 佳浩,1700058,左,東 克樹,,空三振
2023-04-06,巨人,DeNA,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1600089,左,佐野 恵太,1800026,左,横川 凱,左,安
2023-04-06,巨人,DeNA,1,2,2,0,0,0,0,0,0,1,0,0,2,0,0,0,1850208,左,林 琢真,1800026,左,横川 凱,二,併打
2023-04-06,巨人,DeNA,1,2,3,0,0,0,0,0,2,0,0,0,3,0,0,0,1200053,右,宮﨑 敏郎,1800026,左,横川 凱,二,ゴロ
2023-04-06,巨人,DeNA,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1400101,右,岡本 和真,1700058,左,東 克樹,左,安
2023-04-06,巨人,DeNA,2,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,800054,右,中田 翔,1700058,左,東 克樹,,空三振
2023-04-06,巨人,DeNA,2,1,3,0,0,0,0,0,1,1,0,0,3,0,0,0,1860031,右,ブリンソン,1700058,左,東 克樹,中,２
2023-04-06,巨人,DeNA,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2000035,右,牧 秀悟,1800026,左,横川 凱,二,ゴロ
2023-04-06,巨人,DeNA,2,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1100061,右,桑原 将志,1800026,左,横川 凱,中,飛
2023-04-06,巨人,DeNA,2,2,3,0,0,0,0,0,2,0,0,0,3,0,0,0,1300038,左,関根 大気,1800026,左,横川 凱,中,安
2023-04-06,巨人,DeNA,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,700003,右,坂本 勇人,1700058,左,東 克樹,右,飛
2023-04-06,巨人,DeNA,3,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1700044,左,大城 卓三,1700058,左,東 克樹,一,ゴロ
2023-04-06,巨人,DeNA,3,1,3,0,0,0,0,0,2,0,0,0,3,0,0,0,1800026,左,横川 凱,1700058,左,東 克樹,,空三振
2023-04-06,巨人,DeNA,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1700020,右,ソト,1800026,左,横川 凱,右,飛
2023-04-06,巨人,DeNA,3,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1700066,右,山本 祐大,1800026,左,横川 凱,遊,ゴロ
2023-04-06,巨人,DeNA,3,2,3,0,0,0,0,0,2,0,0,0,3,0,0,0,1700058,左,東 克樹,1800026,左,横川 凱,,空三振
2023-04-06,巨人,DeNA,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,900397,右,長野 久義,1700058,左,東 克樹,左,２
2023-04-06,巨人,DeNA,4,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1600059,左,吉川 尚輝,1700058,左,東 克樹,中,飛
2023-04-06,巨人,DeNA,4,1,3,0,0,0,0,0,1,0,1,0,2,0,0,1,800043,左,丸 佳浩,1700058,左,東 克樹,二,ゴロ
2023-04-06,巨人,DeNA,4,1,4,0,0,0,0,0,2,0,0,1,3,0,0,0,1400101,右,岡本 和真,1700058,左,東 克樹,,空三振
2023-04-06,巨人,DeNA,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1600089,左,佐野 恵太,1800026,左,横川 凱,一,ゴロ
2023-04-06,巨人,DeNA,4,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1850208,左,林 琢真,1800026,左,横川 凱,,見三振
2023-04-06,巨人,DeNA,4,2,3,0,0,0,0,0,2,0,0,0,2,0,1,0,1200053,右,宮﨑 敏郎,1800026,左,横川 凱,左,２
2023-04-06,巨人,DeNA,4,2,4,0,0,0,0,0,2,0,1,0,2,1,0,1,2000035,右,牧 秀悟,1800026,左,横川 凱,三,安
2023-04-06,巨人,DeNA,4,2,5,0,0,0,0,0,2,1,0,1,3,0,0,0,1100061,右,桑原 将志,1800026,左,横川 凱,三,ゴロ
2023-04-06,巨人,DeNA,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,800054,右,中田 翔,1700058,左,東 克樹,,空三振
2023-04-06,巨人,DeNA,5,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1860031,右,ブリンソン,1700058,左,東 克樹,左,安
2023-04-06,巨人,DeNA,5,1,3,0,0,0,0,0,1,1,0,0,3,0,0,0,700003,右,坂本 勇人,1700058,左,東 克樹,三,併打
2023-04-06,巨人,DeNA,5,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1300038,左,関根 大気,1800026,左,横川 凱,,四球
2023-04-06,巨人,DeNA,5,2,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1700020,右,ソト,1800026,左,横川 凱,遊,ゴロ
2023-04-06,巨人,DeNA,5,2,3,0,0,0,0,0,1,0,1,0,1,1,0,1,1700066,右,山本 祐大,1800026,左,横川 凱,左,安
2023-04-06,巨人,DeNA,5,2,4,0,0,0,1,1,1,1,0,1,2,0,1,0,1700058,左,東 克樹,1800026,左,横川 凱,三,犠打
2023-04-06,巨人,DeNA,5,2,5,0,1,0,1,0,2,0,1,0,3,0,0,0,1600089,左,佐野 恵太,1800026,左,横川 凱,左,飛
2023-04-06,巨人,DeNA,6,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1700044,左,大城 卓三,1700058,左,東 克樹,,見三振
2023-04-06,巨人,DeNA,6,1,2,0,1,0,1,0,1,0,0,0,2,0,0,0,1800026,左,横川 凱,1700058,左,東 克樹,,空三振
2023-04-06,巨人,DeNA,6,1,3,0,1,0,1,0,2,0,0,0,3,0,0,0,900397,右,長野 久義,1700058,左,東 克樹,三,飛
2023-04-06,巨人,DeNA,6,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1850208,左,林 琢真,1800026,左,横川 凱,二,ゴロ
2023-04-06,巨人,DeNA,6,2,2,0,1,0,1,0,1,0,0,0,2,0,0,0,1200053,右,宮﨑 敏郎,1800026,左,横川 凱,右,飛
2023-04-06,巨人,DeNA,6,2,3,0,1,0,1,0,2,0,0,0,3,0,0,0,2000035,右,牧 秀悟,1800026,左,横川 凱,遊,飛
2023-04-06,巨人,DeNA,7,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,600084,右,松田 宣浩,1700058,左,東 克樹,,空三振
2023-04-06,巨人,DeNA,7,1,2,0,1,0,1,0,1,0,0,0,2,0,0,0,800043,左,丸 佳浩,1700058,左,東 克樹,三,邪飛
2023-04-06,巨人,DeNA,7,1,3,0,1,0,1,0,2,0,0,0,3,0,0,0,1400101,右,岡本 和真,1700058,左,東 克樹,右,飛
2023-04-06,巨人,DeNA,7,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1100061,右,桑原 将志,1450689,右,船迫 大雅,遊,安
2023-04-06,巨人,DeNA,7,2,2,0,1,0,1,0,0,1,0,0,1,0,1,0,1300038,左,関根 大気,1450689,右,船迫 大雅,投,犠打
2023-04-06,巨人,DeNA,7,2,3,0,1,0,1,0,1,0,1,0,2,0,1,0,1700020,右,ソト,1450689,右,船迫 大雅,,空三振
2023-04-06,巨人,DeNA,7,2,4,0,1,0,1,0,2,0,1,0,2,1,1,0,1700066,右,山本 祐大,1450689,右,船迫 大雅,,四球
2023-04-06,巨人,DeNA,7,2,5,0,1,0,4,3,2,1,1,0,2,0,0,0,1700065,左,楠本 泰史,1450689,右,船迫 大雅,右中,本
2023-04-06,巨人,DeNA,7,2,6,0,4,0,4,0,2,0,0,0,3,0,0,0,1600089,左,佐野 恵太,1450689,右,船迫 大雅,左,飛
2023-04-06,巨人,DeNA,8,1,1,0,4,0,4,0,0,0,0,0,1,0,0,0,800054,右,中田 翔,1900032,右,伊勢 大夢,遊,ゴロ
2023-04-06,巨人,DeNA,8,1,2,0,4,0,4,0,1,0,0,0,2,0,0,0,1860031,右,ブリンソン,1900032,右,伊勢 大夢,右,飛
2023-04-06,巨人,DeNA,8,1,3,0,4,0,4,0,2,0,0,0,3,0,0,0,700003,右,坂本 勇人,1900032,右,伊勢 大夢,投,ゴロ
2023-04-06,巨人,DeNA,8,2,1,0,4,0,4,0,0,0,0,0,1,0,0,0,1850208,左,林 琢真,1800025,右,直江 大輔,左,飛
2023-04-06,巨人,DeNA,8,2,2,0,4,0,4,0,1,0,0,0,2,0,0,0,1200053,右,宮﨑 敏郎,1800025,右,直江 大輔,二,ゴロ
2023-04-06,巨人,DeNA,8,2,3,0,4,0,4,0,2,0,0,0,3,0,0,0,2000035,右,牧 秀悟,1800025,右,直江 大輔,二,ゴロ
2023-04-06,巨人,DeNA,9,1,1,0,4,0,4,0,0,0,0,0,1,0,0,0,1700044,左,大城 卓三,1400109,右,山﨑 康晃,,見三振
2023-04-06,巨人,DeNA,9,1,2,0,4,0,4,0,1,0,0,0,2,0,0,0,2107874,左,門脇 誠,1400109,右,山﨑 康晃,三,飛
2023-04-06,巨人,DeNA,9,1,3,0,4,0,4,0,2,0,0,0,2,1,0,0,900397,右,長野 久義,1400109,右,山﨑 康晃,右,安
2023-04-06,巨人,DeNA,9,1,4,0,4,0,4,0,2,1,0,0,3,0,0,0,2000007,左,中山 礼都,1400109,右,山﨑 康晃,,空三振
2023-04-06,ヤクルト,中日,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1650522,左,丸山 和郁,2000042,右,髙橋 宏斗,一,ゴロ
2023-04-06,ヤクルト,中日,1,1,2,0,0,1,0,1,1,0,0,0,1,0,0,0,1800036,右,濱田 太貴,2000042,右,髙橋 宏斗,左,本
2023-04-06,ヤクルト,中日,1,1,3,1,0,1,0,0,1,0,0,0,2,0,0,0,1000132,右,山田 哲人,2000042,右,髙橋 宏斗,,空三振
2023-04-06,ヤクルト,中日,1,1,4,1,0,1,0,0,2,0,0,0,3,0,0,0,1700084,左,村上 宗隆,2000042,右,髙橋 宏斗,,空三振
2023-04-06,ヤクルト,中日,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1900041,左,岡林 勇希,12113,左,石川 雅規,遊,ゴロ
2023-04-06,ヤクルト,中日,1,2,2,1,0,1,0,0,1,0,0,0,2,0,0,0,900410,左,大島 洋平,12113,左,石川 雅規,中,飛
2023-04-06,ヤクルト,中日,1,2,3,1,0,1,0,0,2,0,0,0,2,1,0,0,1600085,右,細川 成也,12113,左,石川 雅規,左,安
